代码,TS代码,板块,简称,最新价,流通市值_亿,总市值_亿,PE_TTM,扣非PE,PB,PS_TTM,股息率_%,52周高点,距52周高点跌幅_%,已在Watchlist
600956,600956.SH,沪,新天绿能,7.01,164.6,315.47,19.8726,22.1341,1.3239,1.7016,2.85,11.24,37.63,否
600958,600958.SH,沪,东方证券,8.91,665.53,757.05,13.0864,13.5449,0.9449,5.3819,3.59,12.35,27.85,否
600961,600961.SH,沪,株冶集团,28.41,213.59,304.8,12.2517,10.8267,5.201,1.173,0.0,36.98,23.17,否
600970,600970.SH,沪,中材国际,7.71,202.14,202.14,7.6172,8.3035,0.9131,0.4129,6.23,11.61,33.59,否
600983,600983.SH,沪,惠而浦,7.76,59.48,59.48,11.9188,14.2852,2.3237,1.3999,8.63,12.82,39.47,否
600987,600987.SH,沪,航民股份,6.44,65.74,65.74,9.1257,9.3757,0.975,0.7171,3.88,8.84,27.15,否
600989,600989.SH,沪,宝丰能源,24.06,1764.41,1764.41,11.4867,11.6459,3.1961,3.184,3.48,36.49,34.06,否
600993,600993.SH,沪,马应龙,23.01,99.02,99.19,16.7967,17.3461,2.3117,2.5368,3.04,30.18,23.76,否
600999,600999.SH,沪,招商证券,17.82,1322.6,1549.72,11.6411,11.6868,1.287,5.6908,3.19,23.21,23.22,否
601001,601001.SH,沪,晋控煤业,16.84,281.85,281.85,17.0014,16.8817,1.5127,2.0526,3.25,23.9,29.54,否
601002,601002.SH,沪,晋亿实业,5.27,50.3,50.68,19.7451,20.3306,1.1697,2.1955,1.51,6.81,22.61,否
601019,601019.SH,沪,山东出版,6.88,143.58,143.58,12.1776,13.2282,0.9426,1.2808,4.22,9.54,27.88,否
601020,601020.SH,沪,华钰矿业,22.14,181.54,181.54,21.2171,41.4346,4.2863,8.938,0.36,42.3,47.66,否
601021,601021.SH,沪,春秋航空,43.59,426.46,426.46,16.2577,16.4791,2.3512,1.9199,2.16,60.48,27.93,否
601022,601022.SH,沪,宁波远洋,8.29,108.49,108.49,17.5374,18.2972,1.7508,1.7207,1.81,11.48,27.79,否
601038,601038.SH,沪,一拖股份,12.7,92.93,142.7,16.8886,19.2376,1.7835,1.305,2.09,15.84,19.82,否
601058,601058.SH,沪,赛轮轮胎,13.82,454.42,454.42,12.8354,13.0573,2.0822,1.2008,2.39,18.05,23.43,否
601059,601059.SH,沪,信达证券,16.44,533.15,533.15,27.1061,26.5512,2.495,12.0034,0.24,21.69,24.2,否
601061,601061.SH,沪,中信金属,12.0,588.0,588.0,15.0231,15.1276,2.3741,0.3562,1.83,17.93,33.07,否
601066,601066.SH,沪,中信建投,24.78,1609.63,1922.11,15.2912,15.0636,2.2294,6.6715,1.88,31.4,21.08,否
601089,601089.SH,沪,福元医药,16.66,79.97,79.97,20.6266,22.0299,2.1431,2.2334,2.93,33.5,50.27,否
601098,601098.SH,沪,中南传媒,10.15,182.29,182.29,11.3633,11.8691,1.158,1.4413,5.42,13.31,23.74,否
601107,601107.SH,沪,四川成渝,5.5,118.95,168.19,11.113,11.9666,1.0223,1.8047,5.4,6.65,17.29,否
601117,601117.SH,沪,中国化学,7.52,457.82,459.14,7.0008,7.3878,0.6736,0.2397,2.81,10.48,28.24,否
601138,601138.SH,沪,工业富联,62.84,12470.03,12470.03,26.5814,27.404,7.0952,1.1337,1.03,84.95,26.03,否
601139,601139.SH,沪,深圳燃气,6.28,180.66,180.66,12.5292,12.2495,1.1262,0.6209,2.55,8.0,21.5,否
601163,601163.SH,沪,三角轮胎,12.74,101.92,101.92,10.4569,13.1079,0.7362,1.0145,3.14,17.08,25.41,否
601177,601177.SH,沪,杭齿前进,13.95,56.14,56.88,19.9659,22.9705,1.8992,2.2563,0.5,22.5,38.0,否
601200,601200.SH,沪,上海环境,6.9,92.89,92.89,15.3981,15.6918,0.7982,1.502,1.96,9.17,24.75,否
601211,601211.SH,沪,国泰海通,17.38,2337.46,3055.59,9.4508,9.0888,0.923,3.5366,3.75,22.35,22.24,否
601236,601236.SH,沪,红塔证券,6.76,317.26,317.26,28.4825,29.1304,1.2782,13.7258,3.11,10.13,33.27,否
601288,601288.SH,沪,农业银行,6.78,21644.76,23728.85,8.0629,8.0644,0.8532,3.1856,3.68,8.68,21.89,否
601311,601311.SH,沪,骆驼股份,7.67,89.98,89.98,15.3648,20.8119,0.9465,0.5641,4.69,11.89,35.49,否
601318,601318.SH,沪,中国平安,53.35,5687.14,9660.43,6.0637,6.1175,0.9397,0.8583,5.12,74.88,28.75,否
601319,601319.SH,沪,中国人保,6.95,2467.09,3073.57,7.2131,7.0511,0.9821,0.465,3.17,10.18,31.73,否
601330,601330.SH,沪,绿色动力,6.99,69.14,100.0,15.6475,15.7848,1.2564,2.7774,4.54,12.2,42.7,否
601339,601339.SH,沪,百隆东方,7.88,118.17,118.17,14.3128,15.1353,1.2831,1.3831,5.46,9.5,17.05,否
601369,601369.SH,沪,陕鼓动力,8.73,148.95,150.46,21.7442,23.7129,1.7026,1.5921,3.55,12.55,30.44,否
601377,601377.SH,沪,兴业证券,5.79,500.02,500.02,13.6265,13.8007,0.9031,3.7974,3.45,7.92,26.89,否
601456,601456.SH,沪,国联民生,8.75,382.99,497.05,23.3409,24.1676,0.9352,6.2387,0.69,12.65,30.83,否
601512,601512.SH,沪,中新集团,7.66,114.81,114.81,12.5339,12.7773,0.76,3.9984,2.77,11.41,32.87,否
