代码,TS代码,板块,简称,池内档位,质量分,10Y ROE均值_%,10Y ROE最低_%,营收5年CAGR_%,净利润5年CAGR_%,毛利率10Y均值_%,净利率10Y均值_%,FCF5Y转化率,FCF正年数占比_%,OCF负年数,分红率5Y均值_%,资产负债率_%,流通市值_亿,总市值_亿,PE_TTM,股息率_%,审计意见,管理层红旗,分红融资比,覆盖,量化警示,review_status,reviewed_date
603380,603380.SH,沪,易德龙,Ⅱ候选,64.8,18.48,10.48,12.175348975491795,6.224523375678381,25.47,10.71,0.28,60.0,0,37.4,26.919999999999998,53.3,53.3,23.8866,1.8,unqualified_opinion,大股东增减持近1年净减1.2%,1.13,全新,无,pending,
300285,300285.SZ,创,国瓷材料,Ⅱ候选,64.6,12.31,8.47,12.506502425056576,1.5340827259745726,41.1,21.38,0.215,80.0,0,20.1,18.91,515.2,602.1,93.8798,0.25,unqualified_opinion,无,0.49,公司页/深度分析,无,pending,
002287,002287.SZ,深,奇正藏药,Ⅱ候选,64.5,16.67,14.21,10.354481596060495,9.788510645899851,85.13,28.1,0.723,100.0,0,48.2,27.77,113.6,113.9,17.2157,3.19,unqualified_opinion,无,2.68,全新,股本膨胀>2%,pending,
603297,603297.SH,沪,永新光学,Ⅱ候选,64.5,16.53,11.0,10.86338379393883,6.321851018050939,40.8,25.35,0.571,100.0,0,42.3,19.580000000000002,119.1,119.1,57.5088,0.84,unqualified_opinion,大股东增减持近1年净减1.0%,1.1,全新,无,pending,
000963,000963.SZ,深,华东医药,Ⅱ候选,64.0,19.4,13.97,5.302556701140859,3.2291389461118536,30.5,7.42,0.732,100.0,0,34.5,35.52,479.8,480.0,13.8717,3.4,unqualified_opinion,无,2.53,公司页/深度分析/管理层档案,无,pending,
688253,688253.SH,科,英诺特,Ⅱ候选,64.0,32.83,7.14,-16.45805801439505,-24.053636644088094,77.96,34.12,0.94,100.0,0,23.8,9.81,78.2,78.2,154.8008,0.78,unqualified_opinion,无,0.24,全新,无,pending,
600276,600276.SH,沪,恒瑞医药,Ⅱ候选,63.9,17.82,10.31,2.6629779639301354,4.111592900072503,86.19,21.75,0.819,80.0,0,23.1,11.55,2935.6,3054.4,39.5326,0.43,unqualified_opinion,无,4.19,公司页/深度分析/管理层档案,无,pending,
603508,603508.SH,沪,思维列控,Ⅱ候选,63.9,8.19,-13.47,12.492627131811984,,62.0,30.06,0.652,100.0,0,94.0,9.2,81.4,81.4,14.2747,2.46,unqualified_opinion,大股东增减持近1年净减0.5%,1.85,全新,无,pending,
601216,601216.SH,沪,君正集团,Ⅱ候选,63.6,14.81,10.35,11.259549153780313,-6.875779216501954,32.6,22.28,0.673,60.0,0,61.5,28.59,406.7,406.7,13.2723,7.88,unqualified_opinion,无,2.24,全新,无,pending,
002262,002262.SZ,深,恩华药业,Ⅱ候选,63.5,17.19,13.79,11.952403626778384,7.726627165306432,66.03,17.11,0.565,100.0,0,29.8,12.959999999999999,199.4,228.5,20.822,1.78,unqualified_opinion,无,2.16,全新,应收增速>营收,pending,
