二筛排名,代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
44,NVO,Healthcare,70.3,B-保留观察,14.0,11.124035,30.6,20.43,22.65,否,ROE>40%；FCF/NI<70%,64.16,20.43,22.65,14.72,11.91,26.72,80.98,33.14,52.79,20.31,24.12,0.67,32.03,0.8,0.61,0.28,-0.42,119102000000.0
45,MZTI,Consumer Defensive,70.1,B-保留观察,0.0,17.41408,41.74,4.43,23.16,否,无,190.96,4.43,23.16,36.95,-10.91,5.37,23.87,8.77,16.76,13.49,4.36,0.06,,2.38,1.54,1.22,0.02,261496000.0
46,CHKP,Technology,70.0,B-保留观察,0.0,12.76553,40.5,5.37,9.87,否,无,210.66,5.37,9.87,2.97,6.09,,86.72,38.78,36.67,15.59,25.26,0.68,473.55,2.05,0.4,1.11,-4.37,1199400000.0
47,MKTX,Financial Services,69.4,B-保留观察,0.0,19.218772,17.13,5.62,-0.48,否,无,195.97,5.62,-0.48,9.73,8.78,,59.42,29.14,21.53,13.24,14.73,0.25,247.8,2.77,0.45,1.31,-1.69,382139000.0
48,SMCI,Technology,69.3,B-保留观察,6.0,15.957895,48.42,61.71,54.36,否,股数膨胀>2%,58.78,61.71,54.36,nan,38.23,44.68,11.06,4.77,16.64,8.8,34.09,0.76,21.34,5.25,1.84,1.46,4.34,1659524000.0
49,PLNT,Consumer Cyclical,69.2,B-保留观察,0.0,20.403057,50.47,12.23,30.14,否,无,114.26,12.23,30.14,20.32,15.06,12.91,51.94,16.55,-45.38,7.1,93.49,-6.01,3.85,2.11,0.43,1.16,-1.21,418421000.0
50,TMDX,Healthcare,68.7,B-保留观察,12.0,19.040891,50.97,86.42,nan,否,ROE>40%；股数膨胀>2%,156.0,86.42,nan,nan,45.06,33.37,59.92,31.43,40.22,20.33,48.6,1.1,8.8,7.14,0.65,0.7,2.16,192840000.0
51,MORN,Financial Services,68.6,B-保留观察,7.0,18.965271,25.08,9.34,74.44,否,利润增长显著快于营收,266.05,9.34,74.44,25.57,8.23,,61.03,15.3,30.62,10.48,35.13,1.03,13.47,0.99,0.69,1.18,-2.2,589700000.0
52,HDB,Financial Services,68.0,B-保留观察,6.0,16.235534,37.71,16.9,12.47,否,股数膨胀>2%,38.29,16.9,12.47,32.84,19.29,,nan,36.6,8.63,1.4,12.63,0.81,,,0.04,1.51,11.32,1118559900000.0
53,OCTV,Technology,67.7,B-保留观察,0.0,22.286689,34.7,8.28,9.87,否,无,30.0,8.28,9.87,10.82,-5.38,-46.75,73.0,19.27,4.1,3.66,0.72,0.01,,1.01,0.19,1.15,0.0,496866000.0
54,ITRI,Technology,67.7,B-保留观察,0.0,17.602839,25.65,9.65,nan,否,无,142.0,9.65,nan,154.94,11.1,2.03,37.69,12.72,17.54,8.45,34.08,0.74,16.25,1.8,0.66,1.27,-0.19,405952000.0
55,LULU,Consumer Cyclical,67.7,B-保留观察,8.0,9.96055,45.34,11.03,22.7,否,FCF/NI<70%,225.98,11.03,22.7,18.36,12.78,5.52,56.6,14.22,31.83,19.67,21.27,0.36,,2.26,1.38,0.58,-2.92,1602477000.0
56,NICE,Technology,67.6,B-保留观察,7.0,11.70207,36.46,10.53,32.03,否,利润增长显著快于营收,156.37,10.53,32.03,14.31,12.48,,66.41,20.78,15.79,11.77,1.74,0.02,,1.55,0.57,1.02,-1.71,716549000.0
57,BRO,Financial Services,67.1,B-保留观察,6.0,22.335785,27.82,17.38,16.19,否,股数膨胀>2%,98.3,17.38,16.19,18.07,12.26,,49.07,18.29,8.4,4.43,26.4,0.63,5.48,1.04,0.24,1.31,5.86,1450000000.0
58,SAP,Technology,67.1,B-保留观察,7.0,25.86468,34.11,7.63,46.36,否,利润增长显著快于营收,299.48,7.63,46.36,17.48,0.05,,72.86,19.46,16.06,9.9,10.63,0.17,21.87,1.16,0.51,1.18,0.01,9156000000.0
59,DUOL,Technology,66.9,B-保留观察,14.0,15.481341,71.09,41.08,nan,否,应收增速>营收；股数膨胀>2%,468.0,41.08,nan,93.35,51.61,,72.23,39.91,30.74,25.14,4.71,0.07,,2.61,0.63,0.87,4.93,387823000.0
60,HMY,Basic Materials,66.6,B-保留观察,8.0,11.629193,30.62,19.97,nan,否,应收增速>营收,26.06,19.97,nan,50.34,41.82,13.07,23.05,13.99,21.06,14.59,3.8,0.06,15.79,1.56,1.04,0.84,0.28,15650000000.0
61,HURN,Industrials,66.5,B-保留观察,0.0,22.495311,19.86,13.6,11.61,否,无,186.78,13.6,11.61,31.32,8.05,,31.81,6.18,19.87,7.32,35.92,1.04,,1.17,1.18,1.55,-4.58,193394000.0
62,PDD,Consumer Cyclical,66.3,B-保留观察,14.0,9.719543,34.77,49.0,45.85,否,应收增速>营收；股数膨胀>2%,139.41,49.0,45.85,30.15,105.62,nan,56.28,22.66,23.67,17.24,0.85,0.01,,2.43,0.76,1.08,2.56,106938690000.0
63,LVS,Consumer Cyclical,66.1,B-保留观察,6.0,17.783208,34.92,46.86,-3.88,否,ROE>40%,70.45,46.86,-3.88,nan,40.59,18.0,49.79,12.5,102.33,7.64,72.01,9.93,3.97,1.14,0.61,1.09,-4.05,3023000000.0
64,BIRK,Consumer Cyclical,65.9,B-保留观察,8.0,16.882457,29.98,19.06,23.02,否,应收增速>营收,53.53,19.06,23.02,17.96,33.26,9.56,59.11,16.61,12.79,7.09,26.5,0.48,7.22,2.81,0.43,0.86,-0.7,384300000.0
65,OMAB,Industrials,65.9,B-保留观察,6.0,17.048422,18.8,10.18,11.05,否,ROE>40%,134.99,10.18,11.05,14.31,16.67,,70.09,33.46,47.44,18.37,43.92,1.21,6.17,1.32,0.55,1.36,0.0,7445948000.0
66,TRI,Industrials,65.5,B-保留观察,0.0,28.557271,46.11,4.1,3.93,否,无,182.98,4.1,3.93,11.45,2.23,-7.44,75.8,20.09,12.61,8.26,13.22,0.2,11.57,0.64,0.41,1.34,-1.02,2651000000.0
67,AU,Basic Materials,65.2,B-保留观察,21.0,11.878612,31.39,30.02,124.49,否,利润增长显著快于营收；应收增速>营收；股数膨胀>2%,129.14,30.02,124.49,38.42,82.72,11.65,49.24,26.65,32.58,18.62,15.13,0.28,20.89,2.87,0.7,1.27,6.45,4784000000.0
68,PNR,Industrials,64.8,B-保留观察,0.0,17.340672,39.43,0.44,10.78,否,无,113.95,0.44,10.78,30.9,8.2,-7.14,40.48,15.66,16.9,9.82,25.71,0.46,11.9,1.61,0.63,1.14,-0.27,814800000.0
69,AGI,Basic Materials,64.2,B-保留观察,21.0,11.207885,43.57,30.11,187.95,否,利润增长显著快于营收；FCF/NI<70%；股数膨胀>2%,55.41,30.11,187.95,38.63,,-1.27,55.25,48.97,19.92,15.12,3.49,0.05,103.8,2.0,0.31,0.31,2.16,795300000.0
70,FOXA,Communication Services,64.2,B-保留观察,0.0,15.347364,23.18,5.27,23.38,否,无,76.39,5.27,23.38,20.84,5.12,-18.26,nan,13.88,18.92,10.02,32.18,0.62,8.6,2.91,0.72,1.32,-6.76,3324000000.0
71,NYT,Communication Services,64.1,B-保留观察,0.0,28.103004,24.82,6.96,25.53,否,无,87.1,6.96,25.53,57.12,10.16,,50.81,12.18,16.85,11.78,1.22,0.02,387.68,1.54,0.97,1.6,-0.66,584489000.0
72,NEM,Basic Materials,63.9,B-保留观察,14.0,13.195794,22.68,23.91,nan,否,应收增速>营收；股数膨胀>2%,134.88,23.91,nan,47.5,42.85,15.33,53.21,31.25,20.92,12.49,9.78,0.17,50.53,2.29,0.4,1.03,11.15,10334000000.0
73,SFM,Consumer Defensive,63.9,B-保留观察,8.0,16.395362,44.64,11.2,26.1,否,应收增速>营收,153.75,11.2,26.1,24.47,59.39,11.21,38.8,5.95,37.32,13.43,46.73,1.39,390.36,0.93,2.26,0.89,-2.99,715998000.0
74,TTEK,Industrials,63.7,B-保留观察,0.0,20.601944,20.51,15.81,-1.99,否,无,43.14,15.81,-1.99,10.83,20.25,,17.66,4.55,13.92,5.85,23.05,0.55,10.29,1.18,1.28,1.77,-0.44,457685000.0
75,FOX,Communication Services,63.1,B-保留观察,0.0,13.652563,23.43,5.27,23.38,否,无,68.17,5.27,23.38,20.84,5.12,-18.26,nan,13.88,18.92,10.02,32.18,0.62,8.6,2.91,0.72,1.32,-6.76,3324000000.0
76,ZTS,Healthcare,63.0,B-保留观察,6.0,12.181291,53.65,5.42,8.13,否,ROE>40%,160.48,5.42,8.13,14.95,9.38,1.19,71.84,28.23,80.25,18.0,59.73,2.77,16.14,3.03,0.64,0.85,-2.88,2904000000.0
77,AOS,Industrials,62.7,B-保留观察,7.0,17.605035,22.83,0.67,32.33,否,利润增长显著快于营收,81.87,0.67,32.33,16.37,0.06,-2.45,38.83,14.26,29.4,17.11,6.11,0.1,53.97,1.5,1.2,1.0,-2.87,616800000.0
78,ANF,Consumer Cyclical,62.2,B-保留观察,7.0,10.455219,17.77,12.51,464.64,否,利润增长显著快于营收,133.11,12.51,464.64,nan,11.98,5.94,61.47,9.63,36.11,14.82,32.98,0.83,304.48,1.49,1.54,0.75,-3.21,619142000.0
79,ARIS,Basic Materials,62.0,B-保留观察,6.0,11.409867,32.89,32.37,nan,否,股数膨胀>2%,23.29,32.37,nan,69.26,-43.05,28.29,49.61,8.45,5.42,3.48,20.96,0.36,6.36,1.76,0.41,1.65,14.74,372974000.0
80,RTO,Industrials,62.0,B-保留观察,0.0,26.261201,28.61,15.4,18.74,否,无,34.67,15.4,18.74,10.21,4.64,8.36,83.12,6.8,8.55,3.4,42.47,1.12,2.56,1.16,0.5,1.5,0.21,972000000.0
