二筛排名,代码,Yahoo代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
119,01138,1138.HK,Energy,35.0,C-暂缓,21.0,11.682614,21.92,8.48,40.33,否,利润增长显著快于营收；FCF/NI<70%；股数膨胀>2%,22.4,8.48,40.33,21.4,6.3,-8.53,25.77,17.03,8.7,4.64,38.48,0.76,4.85,1.22,0.27,0.43,4.63,7389147000.0
120,02580,2580.HK,Industrials,34.3,C-暂缓,26.0,8.468671,43.71,15.45,15.73,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,16.7,15.45,15.73,-10.33,33.07,31.29,18.84,7.44,22.44,8.04,4.97,0.16,51.6,1.12,1.08,0.48,0.0,2887051000.0
121,80883,80883.HK,,34.2,C-暂缓,0.0,7.365167,21.35,,,否,无,27.26,,,,,,nan,nan,nan,,,,,,,nan,,
122,02460,2460.HK,Consumer Defensive,33.0,C-暂缓,16.0,19.884131,35.47,-4.48,-0.15,否,应收增速>营收；FCF/NI<70%,11.56,-4.48,-0.15,21.38,6.96,-12.11,45.68,8.96,9.18,5.78,0.28,0.0,655.51,2.13,0.65,0.02,0.71,1511086000.0
123,00303,0303.HK,Technology,32.8,C-暂缓,18.0,12.103324,26.07,-3.29,-3.49,否,经营现金流3Y为负；FCF/NI<70%,67.9,-3.29,-3.49,-19.65,-2.4,-5.37,32.72,6.61,20.72,10.24,9.76,0.2,42.7,1.89,1.55,0.69,0.08,123900000.0
124,00189,0189.HK,Basic Materials,32.4,C-暂缓,18.0,10.04347,45.16,-10.51,-24.77,否,应收增速>营收；经营现金流3Y为负,23.74,-10.51,-24.77,-9.99,4.31,-19.99,30.81,11.44,11.42,7.38,0.14,0.0,1840.28,3.27,0.65,1.24,-8.39,3706493000.0
125,06030,6030.HK,Financial Services,32.3,C-暂缓,10.0,9.013966,16.06,4.88,12.16,否,经营现金流3Y为负,32.5,4.88,12.16,-1.91,,,nan,40.46,9.4,1.59,13.91,0.91,,,0.04,2.41,0.0,74104321265.96
126,00135,0135.HK,Energy,30.4,C-暂缓,10.0,10.013903,15.86,4.1,0.75,否,经营现金流3Y为负,8.83,4.1,0.75,-5.8,9.16,-1.38,10.06,2.76,7.89,3.72,14.86,0.32,18.94,1.73,1.35,1.22,-0.0,12430000000.0
127,00867,0867.HK,Healthcare,30.2,C-暂缓,18.0,14.914183,29.37,-3.54,-22.98,否,经营现金流3Y为负；FCF/NI<70%,15.63,-3.54,-22.98,-40.24,3.26,18.99,71.5,18.13,8.56,7.99,3.59,0.04,104.61,6.33,0.44,0.16,-0.17,758421000.0
128,02518,2518.HK,Communication Services,29.1,C-暂缓,18.0,17.748815,27.8,-2.4,-6.79,否,经营现金流3Y为负；FCF/NI<70%,57.95,-2.4,-6.79,-29.75,-7.59,,72.35,24.41,6.83,5.38,0.15,0.0,,6.0,0.22,0.49,-2.05,889462000.0
129,02600,2600.HK,Basic Materials,29.0,C-暂缓,15.0,7.351256,43.67,-6.07,44.6,否,利润增长显著快于营收；应收增速>营收,15.55,-6.07,44.6,7.03,8.0,-0.94,18.03,5.26,16.92,5.72,28.01,0.85,12.03,1.36,1.09,1.96,-0.01,34092341000.0
