二筛排名,代码,TS代码,板块,简称,二筛总分,评级档,异常惩罚,PE_TTM,扣非PE,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,FCF净利润转化率,股数3年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,经营现金流_原始值
683,300003,300003.SZ,创,乐普医疗,1.2,C-暂缓,30.0,29.1147,33.9373,43.66,-4.21,-11.5,否,增速异常；应收增速>营收；经营现金流3Y为负,-15.14,-23.14,-18.39,1.37,-3.74,64.01,15.72,5.91,4.02,32.06,0.4719,7.48,0.8592,-0.66,6.22,416.49,1516920677
684,600064,600064.SH,沪,南京高科,0.8,C-暂缓,28.0,7.5812,9.4829,21.12,3.18,-3.87,否,增速异常；应收增速>营收；FCF/NI<70%,-8.69,-11.35,nan,26.76,-13.73,23.05,50.55,8.61,4.49,47.65,0.9102,9.71,0.5354,0.0,72.61,5.26,980519894
685,603057,603057.SH,沪,紫燕食品,0.7,C-暂缓,26.0,29.8018,45.2911,39.32,4.38,-7.7,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,-3.49,3.57,-10.91,29.87,8.94,22.56,7.4,11.74,6.65,46.62,0.8734,19.37,0.1966,0.12,-3.7,-31.06,248101739
686,300861,300861.SZ,创,美畅股份,0.6,C-暂缓,32.0,27.4152,32.1344,39.96,12.38,-11.63,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,-16.1,-45.11,-29.64,15.79,-2.96,23.44,11.29,3.79,3.44,9.7,0.1074,111.12,0.6652,11.86,-4.88,70.48,169851262
687,601898,601898.SH,沪,中煤能源,0.5,C-暂缓,26.0,10.3447,10.1895,27.67,0.99,19.6,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,-12.44,-4.88,-11.94,-4.17,-9.22,27.49,14.75,11.12,6.0,45.82,0.8457,13.6,0.3717,0.0,-21.83,-12.48,29791934000
688,002091,002091.SZ,深,江苏国泰,0.3,C-暂缓,26.0,10.2898,14.0708,30.63,5.53,8.28,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,-2.7,-5.81,-13.98,10.43,-0.14,16.22,5.6,9.87,4.8,51.42,1.0585,11.2,0.6239,0.0,1.24,18.16,2344524029
689,002709,002709.SZ,深,天赐材料,0.1,C-暂缓,38.0,19.5663,19.6776,41.58,32.23,21.85,否,增速异常；应收增速>营收；经营现金流3Y为负；FCF/NI<70%,-9.3,-38.73,-34.27,14.08,-11.97,22.24,8.07,8.57,5.28,33.02,0.493,9.26,0.3892,1.82,33.0,180.95,1182243395
690,000028,000028.SZ,深,国药一致,0,C-暂缓,36.0,10.8819,11.2631,29.02,4.24,-8.1,否,增速异常；应收增速>营收；经营现金流3Y为负；股数膨胀>2%,-0.01,-13.96,-13.82,16.1,1.2,10.68,1.54,5.32,2.33,55.95,1.2701,8.52,1.2612,9.14,-1.29,376.09,1638588925
691,000422,000422.SZ,深,湖北宜化,0,C-暂缓,39.0,18.2746,31.4539,39.36,13.19,44.2,否,利润增速显著快于营收；应收增速>营收；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,7.39,-19.11,-2.25,32.43,32.68,18.14,5.63,10.64,3.2,70.55,2.3956,4.09,-0.6239,6.62,51.22,61.63,3606060152
692,000958,000958.SZ,深,电投产融,0,C-暂缓,36.0,23.193,59.7586,30.0,-1.38,11.61,否,增速异常；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,26.81,47.39,-1.04,21.99,177.67,31.21,37.9,7.35,3.18,60.27,1.517,5.53,-1.9174,47.78,117.01,246.68,3535781832
693,002258,002258.SZ,深,利尔化学,0,C-暂缓,38.0,26.4946,26.671,19.17,12.64,-2.84,否,增速异常；应收增速>营收；经营现金流3Y为负；FCF/NI<70%,-3.86,-34.06,-20.66,10.03,-3.35,18.91,6.45,6.36,3.66,42.6,0.7422,9.09,0.3967,0.0,23.21,94.59,1296665108
694,002460,002460.SZ,深,赣锋锂业,0,C-暂缓,38.0,29.8136,88.9566,40.96,33.11,3.49,否,增速异常；应收增速>营收；经营现金流3Y为负；FCF/NI<70%,-17.97,-60.48,-38.22,-4.99,8.74,15.72,5.47,2.54,1.18,54.23,1.1848,1.63,-3.1429,1.3,22.08,148.0,2944844627
695,002756,002756.SZ,深,永兴材料,0,C-暂缓,32.0,26.8065,29.3886,46.94,8.34,20.25,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,-21.89,-53.64,-58.55,-3.43,-4.12,15.8,8.72,5.1,4.56,11.97,0.136,142.55,0.4298,9.14,-8.06,-39.03,473481846
696,002759,002759.SZ,深,ST天际,0,C-暂缓,34.0,25.6936,27.3408,67.01,31.88,nan,否,增速异常；应收增速>营收；FCF/NI<70%；股数膨胀>2%,-3.27,-33.12,nan,5.02,-1.0,18.08,5.07,3.99,2.32,41.86,0.72,5.66,-4.319,7.06,43.28,110.5,-300342981
697,002925,002925.SZ,深,盈趣科技,0,C-暂缓,38.0,22.201,75.0794,15.78,-4.9,-10.93,否,增速异常；应收增速>营收；经营现金流3Y为负；FCF/NI<70%,-1.67,-5.45,-25.96,12.92,3.24,28.01,14.5,11.4,7.53,38.17,0.6173,23.02,-0.2032,-0.23,15.61,124.29,493634825
698,301216,301216.SZ,创,万凯新材,0,C-暂缓,36.0,19.0831,134.4812,47.49,10.75,-3.7,否,增速异常；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,-7.2,-44.03,-19.55,-10.86,12.0,3.48,1.08,2.89,0.95,64.49,1.8161,1.9,-6.0088,19.1,-10.08,155.59,440998815
699,301358,301358.SZ,创,湖南裕能,0,C-暂缓,34.0,14.6929,14.6671,38.84,105.0,100.44,否,增速异常；应收增速>营收；FCF/NI<70%；股数膨胀>2%,-6.81,-25.02,nan,1.26,-9.96,9.15,3.66,10.3,3.65,66.89,2.0202,8.05,-2.977,10.24,53.22,114.77,-1546350345
700,600039,600039.SH,沪,四川路桥,0,C-暂缓,24.0,10.3335,10.5525,21.69,13.52,19.62,否,应收增速>营收；经营现金流3Y为负；股数膨胀>2%,-5.21,-13.1,-16.76,34.75,4.98,14.36,6.48,14.0,2.94,79.12,3.7893,4.95,0.8823,11.78,7.34,1.29,7722656092
701,600089,600089.SH,沪,特变电工,0,C-暂缓,32.0,19.0331,22.8162,39.75,17.12,13.43,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,0.45,-35.96,-24.58,15.35,15.14,18.8,6.17,6.28,2.76,55.6,1.2523,6.34,-2.1115,9.15,-0.56,66.79,9330630989
702,600141,600141.SH,沪,兴发集团,0,C-暂缓,26.0,25.6378,26.1169,40.36,9.76,22.08,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,-1.12,-38.1,-38.32,31.77,16.26,17.96,5.5,6.82,3.23,53.11,1.1327,5.9,-0.3886,-0.25,3.18,-0.4,1615381556
703,600188,600188.SH,沪,兖矿能源,0,C-暂缓,39.0,22.3242,37.4976,22.99,-7.58,15.78,否,利润增速显著快于营收；应收增速>营收；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,-10.3,-28.82,-28.56,9.51,-5.33,29.34,9.82,8.87,3.29,62.23,1.6476,5.36,0.1168,26.58,4.17,-32.04,19484794000
704,600278,600278.SH,沪,东方创业,0,C-暂缓,26.0,29.0464,30.817,33.26,-3.46,-4.53,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,-7.3,-17.79,-74.92,28.87,-4.75,5.19,0.8,3.31,1.4,57.19,1.3359,9.62,-0.1007,-0.39,-6.73,-5.92,15016196
705,600348,600348.SH,沪,华阳股份,0,C-暂缓,32.0,20.3328,22.3128,15.39,-7.21,5.48,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,-15.1,-35.17,-31.68,0.09,2.45,39.45,10.12,5.52,2.58,53.25,1.139,5.75,-1.3618,14.47,-14.43,-16.64,3179188893
706,600389,600389.SH,沪,江山股份,0,C-暂缓,36.0,14.2637,21.6347,44.32,2.58,8.89,否,增速异常；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,-11.35,-34.38,-44.98,-22.84,-5.58,17.36,9.05,12.76,5.73,55.62,1.2533,27.39,-1.8532,12.14,7.08,131.14,295413701
707,600395,600395.SH,沪,盘江股份,0,C-暂缓,38.0,29.4486,32.3483,15.22,8.54,-17.46,否,增速异常；应收增速>营收；经营现金流3Y为负；FCF/NI<70%,-6.24,-45.85,-35.59,50.31,22.32,26.17,3.64,3.07,0.78,75.25,3.0404,1.74,-8.8678,0.0,9.68,217.62,944673276
708,600528,600528.SH,沪,中铁工业,0,C-暂缓,26.0,11.271,12.6617,29.47,2.65,-6.2,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,-1.32,-11.05,-3.36,11.11,8.72,18.73,4.79,4.76,2.05,56.41,1.2941,31.23,0.1929,0.0,-4.53,-23.52,1098472161
709,600623,600623.SH,沪,华谊集团,0,C-暂缓,26.0,29.8371,35.5427,33.36,10.32,6.49,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,6.05,-30.94,-37.92,14.26,5.32,7.63,1.2,1.71,0.77,56.85,1.3175,3.44,-2.0199,-0.13,2.96,-55.33,1784409696
710,600820,600820.SH,沪,隧道股份,0,C-暂缓,26.0,7.6412,8.3829,27.79,1.41,0.12,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,-3.9,-8.14,-16.38,4.74,17.15,13.99,4.01,5.57,1.31,75.8,3.1322,2.82,0.3724,0.0,-15.82,-21.51,2192089411
711,600958,600958.SH,沪,东方证券,0,C-暂缓,33.0,13.0864,13.5449,27.85,-7.87,15.66,否,利润增速显著快于营收；应收增速>营收；经营现金流3Y为负；FCF/NI<70%,-6.4,23.23,-79.15,39.62,nan,,36.68,6.87,1.25,83.02,4.8893,,-0.0227,0.0,-19.97,68.15,195871202
712,603128,603128.SH,沪,华贸物流,0,C-暂缓,26.0,15.0734,19.9903,18.75,4.97,-2.1,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,-6.63,-17.56,-34.58,12.34,46.6,8.99,2.88,8.31,4.49,48.04,0.9246,13.33,0.5109,-0.01,2.51,-7.9,407039272
713,603299,603299.SH,沪,苏盐井神,0,C-暂缓,33.0,18.2457,26.9877,29.79,2.74,28.45,否,利润增速显著快于营收；应收增速>营收；经营现金流3Y为负；FCF/NI<70%,-8.95,-13.51,-31.97,5.13,-11.09,34.61,11.8,8.08,5.2,36.97,0.5865,27.75,-1.1883,-0.02,-15.68,-31.82,359855255
714,603599,603599.SH,沪,广信股份,0,C-暂缓,32.0,14.0878,17.8561,39.28,0.75,2.22,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,-26.95,-34.87,-48.89,6.21,-19.15,32.36,18.6,6.64,4.56,28.65,0.4015,53.88,0.461,11.87,-23.92,-15.16,390906320
715,688779,688779.SH,科,五矿新能,0,C-暂缓,38.0,24.8898,24.4172,36.15,35.96,15.74,否,增速异常；应收增速>营收；经营现金流3Y为负；FCF/NI<70%,-19.61,-46.5,-7.58,8.49,-8.54,7.95,2.44,3.19,1.57,55.13,1.2287,1.58,0.4706,0.0,68.62,144.93,239223868
