二筛排名,代码,TS代码,板块,简称,二筛总分,评级档,异常惩罚,PE_TTM,扣非PE,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,FCF净利润转化率,股数3年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,经营现金流_原始值
551,001323,001323.SZ,深,慕思股份,20.7,C-暂缓,24.0,15.8254,22.6609,44.99,3.26,-0.3,否,经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,-3.48,-9.34,-15.9,-21.04,9.31,51.34,10.1,11.79,6.9,41.72,0.7159,31.19,0.3093,2.84,-6.71,-31.17,385100574
552,002440,002440.SZ,深,闰土股份,20.7,C-暂缓,22.0,17.1679,29.8555,25.23,1.85,-2.13,否,增速异常；经营现金流3Y为负,-2.95,2.5,-9.93,1.73,1.07,19.43,11.85,6.85,5.9,11.81,0.1339,69.64,0.9184,-0.77,0.61,198.93,645422131
553,002941,002941.SZ,深,新疆交建,20.7,C-暂缓,21.0,16.1849,19.9211,52.38,5.73,32.42,否,利润增速显著快于营收；FCF/NI<70%；股数膨胀>2%,6.06,12.24,158.94,-1.03,15.45,10.99,5.21,8.67,2.35,71.16,2.4674,3.39,-1.9939,4.2,37.43,49.97,931535928
554,603416,603416.SH,沪,信捷电气,20.7,C-暂缓,32.0,27.1288,29.6581,34.04,12.16,-5.18,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,14.68,4.61,-19.72,65.08,4.1,37.49,12.62,10.14,7.32,27.25,0.3746,903.25,0.0816,3.79,17.87,11.2,92796960
555,600633,600633.SH,沪,浙数文化,20.5,C-暂缓,18.0,25.9426,31.8084,42.89,-2.73,-4.49,否,应收增速>营收；经营现金流3Y为负,-15.93,0.46,-15.57,32.82,85.93,49.32,18.3,5.07,4.45,13.61,0.1575,50.24,0.7814,0.06,-0.5,4.09,619727152
556,601677,601677.SH,沪,明泰铝业,20.5,C-暂缓,22.0,8.5159,9.2646,16.9,16.56,12.46,否,应收增速>营收；FCF/NI<70%；股数膨胀>2%,8.14,6.14,nan,35.38,13.2,7.08,5.59,10.61,7.79,28.44,0.3974,100.0,0.3583,8.64,8.71,12.17,1438277162
557,002752,002752.SZ,深,昇兴股份,20.4,C-暂缓,17.0,15.8643,16.854,37.93,19.83,123.8,否,利润增速显著快于营收；经营现金流3Y为负,1.42,12.33,-7.99,3.04,5.08,11.03,4.25,8.64,3.88,54.07,1.1772,9.7,0.9002,0.0,0.61,-28.25,560307175
558,601728,601728.SH,沪,中国电信,20.2,C-暂缓,18.0,19.7742,21.7137,16.28,6.09,9.52,否,应收增速>营收；经营现金流3Y为负,3.32,6.28,-3.19,27.82,-0.78,29.08,6.34,7.18,3.82,46.22,0.8594,20.89,1.6062,0.0,0.07,0.75,124518913221
559,600273,600273.SH,沪,嘉化能源,20.1,C-暂缓,26.0,14.1179,14.0294,44.98,12.83,-5.39,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,-3.99,-14.8,-19.04,5.02,-5.12,14.81,9.7,9.72,7.47,23.62,0.3092,37.74,0.568,-1.08,11.21,-1.75,816468399
560,002073,002073.SZ,深,软控股份,20.0,C-暂缓,25.0,15.4868,18.7217,36.27,21.98,45.26,否,利润增速显著快于营收；经营现金流3Y为负；FCF/NI<70%,13.21,26.67,-1.29,13.55,20.44,22.12,5.68,7.27,2.41,67.28,2.0562,9.36,0.1556,1.84,15.95,-17.93,368131614
561,000997,000997.SZ,深,新大陆,19.8,C-暂缓,26.0,19.023,18.6744,41.71,4.4,17.62,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,5.92,nan,-22.13,23.66,0.75,33.54,12.91,15.1,8.28,47.13,0.8914,83.27,0.3655,-0.62,13.08,-0.02,493436104
562,300041,300041.SZ,创,回天新材,19.8,C-暂缓,26.0,24.7557,32.3678,36.65,15.44,0.53,否,增速异常；FCF/NI<70%；股数膨胀>2%,6.1,-8.0,31.67,11.98,-4.36,23.61,5.1,7.48,3.4,52.86,1.1213,5.32,0.5349,9.09,11.21,117.92,304954510
