代码,行业,最新价,流通市值_亿美元,PE_TTM,距52周高点跌幅_%,52周高点,营收5年CAGR_%,净利润5年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,营业利润占比_%,ROE_%,资产负债率_%,经营现金流_原始值,数据日期,待核验项,已在Watchlist
ANF,Consumer Cyclical,103.3025,43.24,10.073119,22.39,133.11,12.51,464.64,,,,36.11,32.98,619142000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AOS,Industrials,62.635,68.9,17.777798,23.49,81.87,0.67,32.33,,,,29.4,6.11,616800000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AR,Energy,37.885,106.61,10.624093,17.19,45.75,-15.47,-30.28,,,,8.4,26.62,1630930000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ARIS,Basic Materials,19.76,39.66,14.315258,15.16,23.29,32.37,nan,,,,5.42,20.96,372974000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AROC,Energy,32.06,55.07,17.354803,24.08,42.23,20.78,93.77,,,,21.61,55.67,622107000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ASO,Consumer Cyclical,46.01,29.06,8.377754,26.32,62.445,-1.81,-15.66,,,,17.35,35.86,434798000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ASR,Industrials,258.5847,37.24,13.684809,32.22,381.52,13.73,1.65,,,,26.55,39.89,12348613000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ATMU,Consumer Cyclical,49.08,39.81,18.837053,26.2,66.5,4.14,6.77,,,,54.8,45.3,202700000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
B,Basic Materials,45.615,713.96,11.629948,16.59,54.69,15.47,126.1,,,,18.8,10.1,7689000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BABA,Consumer Cyclical,126.625,2906.7,20.206248,34.28,192.67,5.62,12.49,,,,9.76,14.75,76213000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BAH,Industrials,78.1,93.2,12.397211,30.4,112.22,6.6,46.44,,,,77.01,57.91,1041000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BANF,Financial Services,112.75,26.23,15.238229,18.75,138.77,7.4,7.61,,,,12.98,0.66,285278000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CDW,Technology,138.01,170.55,16.474419,19.55,171.55,-1.89,-1.45,,,,40.93,36.11,1205200000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CEG,Utilities,276.155,795.09,26.546161,33.09,412.7,1.47,nan,,,,15.97,15.71,4237000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CHKP,Technology,131.71,101.88,13.478404,37.48,210.66,5.37,9.87,,,,36.67,25.26,1199400000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CHRW,Industrials,144.71,164.71,27.588829,31.2,210.33,-13.05,-14.54,,,,31.81,27.59,914519000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CLX,Consumer Defensive,106.93,129.74,22.432432,17.04,128.9,-3.11,57.94,,,,652.22,70.82,612000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CMC,Industrials,65.985,74.78,12.948402,22.25,84.87,-4.36,-58.88,,,,2.02,18.88,715070000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
COF,Financial Services,213.54,1335.84,12.87242,17.76,259.64,15.98,-30.67,,,,2.16,7.54,27718000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
COKE,Consumer Defensive,186.36,105.49,24.975368,15.16,219.65,5.24,9.87,,,,-77.13,67.56,931904000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CRH,Basic Materials,93.06,629.29,16.698687,29.26,131.55,4.6,-1.15,,,,15.54,33.78,5625000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
MGM,Consumer Cyclical,42.89,78.23,27.050743,16.86,51.59,10.14,-48.11,,,,8.47,75.83,2529378000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
MIFF,,26.0,32.05,8.902347,,,,,,,,nan,,,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
MORN,Financial Services,212.855,40.24,20.328259,19.99,266.05,9.34,74.44,,,,30.62,35.13,589700000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
NHI,Real Estate,74.335,35.51,21.383082,18.65,91.38,10.53,28.89,,,,9.34,41.61,236563000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
NICE,Technology,99.97,59.14,14.570588,34.95,153.68,10.53,32.03,,,,15.79,1.74,716549000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
NKE,Consumer Cyclical,39.97,483.16,19.547619,50.14,80.17,-3.24,-15.05,,,,20.91,28.72,2868000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
NMRK,Real Estate,16.105,25.29,20.525,18.81,19.835,6.78,14.86,,,,8.63,41.89,172001000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
NOC,Industrials,584.125,825.96,18.50308,24.53,774.0,4.65,-5.12,,,,25.08,33.13,4757000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
NTCT,Technology,38.03,26.9,23.558103,16.01,45.28,-2.05,17.0,,,,5.79,1.68,294538000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
NTES,Communication Services,121.05,442.83,16.579169,24.13,159.55,5.29,18.4,,,,21.06,3.04,50739800000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
